matchid,mapnumber,steamid64,team,name,kills,deaths,damage,assists,enemy5ks,enemy4ks,enemy3ks,enemy2ks,utility_count,utility_damage,utility_successes,utility_enemies,flash_count,flash_successes,health_points_removed_total,health_points_dealt_total,shots_fired_total,shots_on_target_total,v1_count,v1_wins,v2_count,v2_wins,entry_count,entry_wins,equipment_value,money_saved,kill_reward,live_time,head_shot_kills,cash_earned,enemies_flashed
11,0,76561198920487105,team_今晚没人失眠,相信,17,12,1772,3,0,0,1,3,2,8,0,0,2,2,1193,1772,315,51,1,1,0,0,9,6,70350,0,5300,741,7,61200,4
11,0,76561198102025739,team_今晚没人失眠,今晚没人失眠,16,10,1642,1,0,1,1,3,4,50,1,2,0,0,1228,1642,166,44,1,0,3,2,2,0,71250,0,4200,847,8,61950,0
11,0,76561199723606942,team_今晚没人失眠,Teio,15,11,1444,0,0,0,2,3,6,38,2,2,3,1,1129,1444,183,32,2,1,0,0,4,2,69800,0,4100,830,5,62550,3
11,0,76561198990342958,team_今晚没人失眠,=-姓胡的林姑娘-=,10,14,1117,4,0,0,1,1,0,0,0,0,3,1,1406,1117,160,24,0,0,1,1,3,1,57450,0,3000,675,9,54550,3
11,0,76561198996182514,team_浅夏川铭,nineoneGod,16,14,1610,4,0,0,0,5,4,113,3,4,9,5,1276,1610,184,45,1,1,1,0,8,4,53900,0,5100,790,9,55900,9
11,0,76561198819572050,team_浅夏川铭,没ser喝甜水,12,16,1191,3,0,0,1,2,4,35,2,3,0,0,1600,1191,221,35,4,1,0,0,2,1,58150,0,3400,727,3,60500,0
11,0,76561199042190347,team_浅夏川铭,Eastlotus,9,15,888,4,0,0,0,3,3,75,2,6,2,0,1500,888,223,27,1,0,0,0,0,0,59900,0,3100,703,2,52500,0
11,0,76561199210669166,team_浅夏川铭,浅夏川铭,8,16,1267,4,0,0,0,1,2,79,2,4,2,1,1599,1267,156,36,1,0,0,0,8,4,54750,0,2400,574,7,54100,1
