matchid,mapnumber,steamid64,team,name,kills,deaths,damage,assists,enemy5ks,enemy4ks,enemy3ks,enemy2ks,utility_count,utility_damage,utility_successes,utility_enemies,flash_count,flash_successes,health_points_removed_total,health_points_dealt_total,shots_fired_total,shots_on_target_total,v1_count,v1_wins,v2_count,v2_wins,entry_count,entry_wins,equipment_value,money_saved,kill_reward,live_time,head_shot_kills,cash_earned,enemies_flashed
14,0,76561198996182514,team_nineoneGod,nineoneGod,22,11,2307,1,0,0,0,7,10,148,4,4,14,4,1430,2307,283,59,5,2,8,5,8,7,82800,0,6400,834,9,61350,4
14,0,76561198819572050,team_nineoneGod,没ser喝甜水,8,15,1212,6,0,0,0,1,6,244,5,5,0,0,1535,1212,184,30,4,3,1,0,12,3,80550,0,2000,742,2,61100,0
14,0,76561199723606942,team_今晚没人失眠,Teio,16,13,1777,0,0,0,0,4,6,47,4,5,7,5,1571,1777,235,54,10,2,2,2,11,6,77550,0,4800,864,6,66100,6
14,0,76561198102025739,team_今晚没人失眠,今晚没人失眠,9,17,1188,3,0,0,0,3,3,7,1,1,8,6,1948,1188,210,35,2,0,3,0,9,4,64500,0,3000,759,7,62850,9
