matchid,mapnumber,steamid64,team,name,kills,deaths,damage,assists,enemy5ks,enemy4ks,enemy3ks,enemy2ks,utility_count,utility_damage,utility_successes,utility_enemies,flash_count,flash_successes,health_points_removed_total,health_points_dealt_total,shots_fired_total,shots_on_target_total,v1_count,v1_wins,v2_count,v2_wins,entry_count,entry_wins,equipment_value,money_saved,kill_reward,live_time,head_shot_kills,cash_earned,enemies_flashed
10,0,76561199723606942,team_Teio,Teio,15,19,1894,0,0,0,0,0,4,170,4,4,22,10,2165,1894,214,41,34,15,0,0,34,15,174250,0,3900,803,7,111900,10
10,0,76561198996182514,team_nineoneGod,nineoneGod,19,15,2165,0,0,0,0,0,8,104,4,4,19,11,1894,2165,195,49,34,19,0,0,34,19,179250,0,4500,814,6,107000,11
