matchid,mapnumber,steamid64,team,name,kills,deaths,damage,assists,enemy5ks,enemy4ks,enemy3ks,enemy2ks,utility_count,utility_damage,utility_successes,utility_enemies,flash_count,flash_successes,health_points_removed_total,health_points_dealt_total,shots_fired_total,shots_on_target_total,v1_count,v1_wins,v2_count,v2_wins,entry_count,entry_wins,equipment_value,money_saved,kill_reward,live_time,head_shot_kills,cash_earned,enemies_flashed
15,0,76561198996182514,team_nineoneGod,nineoneGod,5,6,580,1,0,0,0,1,1,25,1,1,1,0,657,580,63,9,3,1,2,0,3,2,15400,0,1500,264,4,16800,0
15,0,76561198819572050,team_nineoneGod,没ser喝甜水,2,6,245,2,0,0,0,0,1,1,1,1,0,0,665,245,28,5,2,1,0,0,4,0,14150,0,600,181,0,18250,0
15,0,76561198102025739,team_今晚没人失眠,今晚没人失眠,6,5,683,0,0,0,0,0,1,55,1,1,1,1,572,683,66,16,1,0,0,0,5,4,20150,0,1800,250,4,21550,1
15,0,76561199723606942,team_今晚没人失眠,Teio,6,2,639,0,0,0,0,0,3,14,1,1,1,0,253,639,98,15,4,3,0,0,2,1,22250,0,1800,224,3,18550,0
