matchid,mapnumber,steamid64,team,name,kills,deaths,damage,assists,enemy5ks,enemy4ks,enemy3ks,enemy2ks,utility_count,utility_damage,utility_successes,utility_enemies,flash_count,flash_successes,health_points_removed_total,health_points_dealt_total,shots_fired_total,shots_on_target_total,v1_count,v1_wins,v2_count,v2_wins,entry_count,entry_wins,equipment_value,money_saved,kill_reward,live_time,head_shot_kills,cash_earned,enemies_flashed
12,0,76561198990342958,team_没ser喝甜水,=-姓胡的林姑娘-=,33,18,3487,4,0,2,1,7,11,127,4,6,5,3,2280,3487,359,87,0,0,4,0,6,3,126050,0,9900,1425,21,105050,4
12,0,76561198819572050,team_没ser喝甜水,没ser喝甜水,23,23,2625,8,0,0,1,5,15,383,12,21,2,1,2674,2625,741,71,1,0,0,0,10,5,156850,0,6100,1421,5,126600,2
12,0,76561199723606942,team_没ser喝甜水,Teio,19,24,2695,6,0,0,2,4,16,295,9,12,7,2,2783,2695,358,74,3,1,3,0,6,2,147150,0,5700,1634,7,128700,3
12,0,76561199210669166,team_没ser喝甜水,浅夏川铭,17,26,1965,9,0,0,1,2,18,218,10,15,8,5,2811,1965,306,40,0,0,0,0,12,7,120750,0,4500,1191,7,110050,6
12,0,76561198920487105,team_相信,相信,28,25,2655,6,0,0,1,7,11,150,5,6,9,8,2979,2655,474,68,1,1,4,1,9,6,170500,0,8800,1630,12,127150,10
12,0,76561199042190347,team_相信,Eastlotus,28,25,3358,10,0,0,2,7,17,205,7,9,2,1,2808,3358,442,87,0,0,0,0,13,5,156700,0,7200,1426,15,121550,1
12,0,76561198996182514,team_相信,nineoneGod,23,21,3028,13,0,0,0,4,21,542,14,26,27,13,2361,3028,585,70,0,0,2,0,6,4,140700,0,6500,1366,11,108200,26
12,0,76561198102025739,team_相信,今晚没人失眠,13,23,1607,5,0,0,0,3,12,272,8,11,14,8,2524,1607,254,42,1,0,6,1,6,2,147050,0,3500,1694,4,119350,11
