matchid,mapnumber,steamid64,team,name,kills,deaths,damage,assists,enemy5ks,enemy4ks,enemy3ks,enemy2ks,utility_count,utility_damage,utility_successes,utility_enemies,flash_count,flash_successes,health_points_removed_total,health_points_dealt_total,shots_fired_total,shots_on_target_total,v1_count,v1_wins,v2_count,v2_wins,entry_count,entry_wins,equipment_value,money_saved,kill_reward,live_time,head_shot_kills,cash_earned,enemies_flashed
8,0,76561199723606942,team_Teio,Teio,14,16,1802,0,0,0,0,0,20,341,12,12,11,7,1999,1802,254,43,30,14,0,0,30,14,128550,0,4800,741,6,99950,7
8,0,76561198996182514,team_nineoneGod,nineoneGod,16,14,1999,0,0,0,0,0,22,388,16,16,10,9,1802,1999,250,46,30,16,0,0,30,16,136400,0,4400,747,6,96300,9
